#数据文件中的 # : , 均应为英文字符
#可以忽略0个空格的行
#可以忽略有多个空格的行
#CS 指定坐标系 BJ54 XA80 CGCS2000 WGS84 CS00
#CS: BJ54
#CS: XA80
#CS: WGS84
#CS: CGCS2000
#CS: CS00, 6378137, 298.257222101
CS: CS00, 6379344.296, 298.3
#角度数据格式为D.MMSS
L0: 106.25
YKM: 0
N: 0
#角度的单位，默认为 D.MMSS
#ANGLE : DEGREE D.MMSSS RADIAN
ANGLE: D.MMSSS
#FORMAT: BL or XY or BLXY or XYBL
FORMAT: BL
#点名, B, L, X, Y, 子午线收敛角(γ),长度比(m)
GPSⅠ050, 25.2818187536, 105.47142188, 2818994.9479719, -63304.3924054611, -0°16′14.46686″, 1.00004944583651
GPSⅠ051, 26.0039482892, 106.282163288, 2878598.12006963, 5608.04700521876,  0°01′28.42475″, 1.00000038800658
GPSⅠ052, 26.0031849416, 106.28060672, 2878362.98066148, 5175.20917053331,  0°01′21.59233″, 1.00000033042415
GPSⅠ053, 26.0011044584, 106.280277176, 2877722.56530555, 5083.79972284967,  0°01′20.13068″, 1.00000031885504
GPSⅠ054, 25.5954269772, 106.275443884, 2877206.14359087, 4852.21079774959,  0°01′16.46461″, 1.00000029046654
GPSⅠ055, 25.5942210564, 106.27385776, 2876834.8016651, 4411.13775186087,  0°01′09.50356″, 1.00000024005917
GPSⅠ056, 25.5931669512, 106.272152728, 2876510.19405547, 3936.94817107341,  0°01′02.02401″, 1.00000019122149
GPSⅠ057, 25.5922705296, 106.27051462, 2876234.14412064, 3481.33929267991,  0°00′54.84015″, 1.00000014952375
GPSⅠ058, 25.5917007972, 106.265468964, 2876058.70498965, 3190.49955160968,  0°00′50.25515″, 1.0000001255842
GPSⅠ059, 25.5918796776, 106.26363948, 2876113.65069882, 2681.55231933181,  0°00′42.23939″, 1.00000008871358
GPSⅠ060, 25.5930039288, 106.262142132, 2876459.61933354, 2264.95368922622,  0°00′35.68213″, 1.00000006329013
GPSⅠ061, 25.5924473544, 106.255737872, 2876288.2057209, 1596.16477511081,  0°00′25.14429″, 1.00000003143206
GPSⅠ062, 25.5915153252, 106.2457654, 2876001.22775865, -65.2626020974678, -0°00′01.02796″, 1.00000000005255
GPSⅠ063, 25.5921167844, 106.2445972, 2876186.36399193, -390.234799457368, -0°00′06.1471″, 1.00000000187875
GPSⅠ064, 25.592601402, 106.242070108, 2876335.57030309, -1093.21581905013, -0°00′17.22169″, 1.00000001474447
GPSⅠ065, 25.5930986412, 106.241864368, 2876488.626685, -1150.43504414235, -0°00′18.12419″, 1.00000001632832
GPSⅠ066, 25.5956567436, 106.23536568, 2877276.09705059, -1845.39997891903, -0°00′29.08195″, 1.00000004201436
GPSⅠ067, 25.9999943912, 106.233077232, 2877380.1311849, -2481.93413514918, -0°00′39.11482″, 1.00000007599712
GPSⅠ068, 26.000000162, 106.231464828, 2877382.00018987, -2930.43589803357, -0°00′46.18316″, 1.00000010594516
GPSⅠ069, 26.0005507172, 106.23042954, 2877551.53035053, -3218.36724628888, -0°00′50.72434″, 1.00000012778731
GPSⅠ070, 26.0020880144, 106.22223392, 2878025.05422093, -4385.23638030067, -0°01′09.1283″, 1.00000023724781
GPSⅠ071, 26.001631772, 106.2204935, 2877884.79255452, -4869.37562785429, -0°01′16.75591″, 1.00000029252492
GPSⅠ072, 26.0014309136, 106.215011092, 2877823.12763916, -5281.72758077892, -0°01′23.25375″, 1.00000034416631
GPSⅠ073, 26.0014169312, 106.213611268, 2877818.98676, -5671.08782669318, -0°01′29.39093″, 1.00000039677939
GPSⅠ074, 26.0006035364, 106.212581704, 2877568.74855207, -5957.57317544825, -0°01′33.89729″, 1.00000043788021
GPSⅠ075, 25.5957573672, 106.210571032, 2877308.56165441, -6516.97838573473, -0°01′42.70339″, 1.00000052397347
GPSⅠ076, 25.594517412, 106.205260488, 2876927.08640799, -6881.71875884485, -0°01′48.43494″, 1.00000058426633
GPSⅠ077, 25.5940394292, 106.20389184, 2876780.16762605, -7262.51337299938, -0°01′54.42839″, 1.0000006507153
